id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,explicit_content,instrumentalness
1,Blinding Lights,The Weeknd,pop,happy,0.8,96,0.82,0.69,0.07,95,2020s,uplifting|catchy|bright,False,0.01
2,Shape of You,Ed Sheeran,pop,euphoric,0.77,132,0.71,0.63,0.09,89,2010s,glossy|radio-ready|sunny,False,0.03
3,Uptown Funk,Mark Ronson ft. Bruno Mars,pop,carefree,0.66,129,0.71,0.75,0.11,93,2010s,feel-good|anthemic|warm,False,0.04
4,Rolling in the Deep,Adele,pop,romantic,0.65,122,0.68,0.66,0.29,86,2010s,sleek|polished|danceable,False,0.02
5,Levitating,Dua Lipa,pop,happy,0.63,117,0.77,0.85,0.23,91,2020s,uplifting|catchy|bright,False,0.03
6,Watermelon Sugar,Harry Styles,pop,euphoric,0.72,130,0.66,0.8,0.27,83,2010s,glossy|radio-ready|sunny,False,0.02
7,Bad Guy,Billie Eilish,pop,carefree,0.62,109,0.84,0.9,0.26,83,2010s,feel-good|anthemic|warm,False,0.04
8,Anti-Hero,Taylor Swift,pop,romantic,0.75,118,0.61,0.72,0.21,84,2020s,sleek|polished|danceable,False,0.04
9,Firework,Katy Perry,pop,happy,0.62,105,0.75,0.69,0.15,84,2010s,uplifting|catchy|bright,False,0.01
10,Someone Like You,Adele,pop,euphoric,0.82,109,0.8,0.86,0.24,75,2010s,glossy|radio-ready|sunny,False,0.01
11,Can't Stop the Feeling!,Justin Timberlake,pop,carefree,0.7,112,0.57,0.88,0.18,74,2010s,feel-good|anthemic|warm,False,0.04
12,Roar,Katy Perry,pop,romantic,0.76,124,0.6,0.66,0.23,77,2010s,sleek|polished|danceable,False,0.03
13,Sunflower,Post Malone & Swae Lee,pop,happy,0.74,132,0.7,0.68,0.3,70,2010s,uplifting|catchy|bright,False,0.03
14,Perfect,Ed Sheeran,pop,euphoric,0.62,102,0.61,0.66,0.21,70,2010s,glossy|radio-ready|sunny,False,0.03
15,As It Was,Harry Styles,pop,carefree,0.79,124,0.75,0.89,0.26,71,2020s,feel-good|anthemic|warm,False,0.0
16,Just the Way You Are,Bruno Mars,pop,romantic,0.82,129,0.83,0.84,0.12,65,2010s,sleek|polished|danceable,False,0.01
17,Havana,Camila Cabello,pop,happy,0.6,111,0.91,0.83,0.17,67,2010s,uplifting|catchy|bright,False,0.01
18,Payphone,Maroon 5,pop,euphoric,0.87,127,0.78,0.66,0.24,66,2010s,glossy|radio-ready|sunny,False,0.03
19,Thinking Out Loud,Ed Sheeran,pop,carefree,0.77,95,0.77,0.76,0.06,66,2010s,feel-good|anthemic|warm,False,0.02
20,Since U Been Gone,Kelly Clarkson,pop,romantic,0.86,110,0.57,0.87,0.29,60,2000s,sleek|polished|danceable,False,0.0
21,Sicko Mode,Travis Scott,hip-hop,confident,0.57,138,0.62,0.71,0.11,92,2010s,gritty|assertive|street,True,0.02
22,God's Plan,Drake,hip-hop,intense,0.84,124,0.71,0.91,0.16,94,2010s,braggadocious|hard-hitting|urban,False,0.02
23,HUMBLE.,Kendrick Lamar,hip-hop,angry,0.68,117,0.48,0.81,0.04,89,2010s,confident|raw|punchy,True,0.01
24,Lose Yourself,Eminem,hip-hop,moody,0.74,99,0.55,0.68,0.15,85,2000s,bold|rhythmic|sharp,True,0.0
25,In Da Club,50 Cent,hip-hop,confident,0.56,112,0.33,0.74,0.14,83,2000s,gritty|assertive|street,True,0.01
26,Empire State of Mind,Jay-Z ft. Alicia Keys,hip-hop,intense,0.86,143,0.54,0.74,0.11,81,2000s,braggadocious|hard-hitting|urban,False,0.01
27,Hotline Bling,Drake,hip-hop,angry,0.77,115,0.48,0.8,0.15,87,2010s,confident|raw|punchy,False,0.02
28,Started From the Bottom,Drake,hip-hop,moody,0.58,121,0.61,0.88,0.04,81,2010s,bold|rhythmic|sharp,True,0.01
29,Alright,Kendrick Lamar,hip-hop,confident,0.6,93,0.42,0.74,0.19,82,2010s,gritty|assertive|street,True,0.01
30,Money Trees,Kendrick Lamar,hip-hop,intense,0.73,76,0.57,0.82,0.02,79,2010s,braggadocious|hard-hitting|urban,True,0.0
31,Stronger,Kanye West,hip-hop,angry,0.63,122,0.5,0.73,0.09,74,2000s,confident|raw|punchy,True,0.0
32,Not Like Us,Kendrick Lamar,hip-hop,moody,0.88,103,0.69,0.88,0.07,75,2020s,bold|rhythmic|sharp,True,0.02
33,Mask Off,Future,hip-hop,confident,0.81,132,0.37,0.75,0.19,72,2010s,gritty|assertive|street,True,0.02
34,Bodak Yellow,Cardi B,hip-hop,intense,0.8,77,0.32,0.8,0.19,66,2010s,braggadocious|hard-hitting|urban,True,0.02
35,Old Town Road,Lil Nas X,hip-hop,angry,0.72,93,0.33,0.7,0.18,71,2010s,confident|raw|punchy,False,0.01
36,Life Is Good,Future ft. Drake,hip-hop,moody,0.74,144,0.55,0.83,0.1,66,2020s,bold|rhythmic|sharp,True,0.02
37,Goosebumps,Travis Scott,hip-hop,confident,0.86,96,0.58,0.76,0.07,65,2010s,gritty|assertive|street,True,0.0
38,No Role Modelz,J. Cole,hip-hop,intense,0.7,79,0.3,0.84,0.12,62,2010s,braggadocious|hard-hitting|urban,True,0.0
39,XO Tour Llif3,Lil Uzi Vert,hip-hop,angry,0.72,86,0.69,0.9,0.18,58,2010s,confident|raw|punchy,True,0.01
40,Nonstop,Drake,hip-hop,moody,0.83,108,0.56,0.93,0.14,61,2010s,bold|rhythmic|sharp,True,0.0
41,Bohemian Rhapsody,Queen,rock,intense,0.77,147,0.33,0.59,0.07,93,1970s,driving|raw|electric,False,0.11
42,Smells Like Teen Spirit,Nirvana,rock,angry,0.73,123,0.55,0.54,0.06,89,1990s,anthemic|powerful|riff-heavy,False,0.08
43,Sweet Child O' Mine,Guns N' Roses,rock,moody,0.82,162,0.68,0.36,0.15,85,1980s,adrenaline|loud|rebellious,False,0.1
44,Hotel California,Eagles,rock,confident,0.78,113,0.56,0.42,0.17,86,1970s,classic|guitar-driven|gritty,False,0.07
45,Stairway to Heaven,Led Zeppelin,rock,intense,0.68,109,0.7,0.54,0.05,84,1970s,driving|raw|electric,False,0.0
46,Livin' on a Prayer,Bon Jovi,rock,angry,0.84,132,0.34,0.43,0.2,86,1980s,anthemic|powerful|riff-heavy,False,0.1
47,Back in Black,AC/DC,rock,moody,0.94,118,0.58,0.53,0.09,84,1980s,adrenaline|loud|rebellious,False,0.07
48,Mr. Brightside,The Killers,rock,confident,0.96,152,0.35,0.6,0.19,81,2000s,classic|guitar-driven|gritty,False,0.12
49,Seven Nation Army,The White Stripes,rock,intense,0.94,106,0.36,0.6,0.18,78,2000s,driving|raw|electric,False,0.05
50,Under the Bridge,Red Hot Chili Peppers,rock,angry,0.89,120,0.4,0.56,0.04,78,1990s,anthemic|powerful|riff-heavy,False,0.1
51,Come As You Are,Nirvana,rock,moody,0.74,157,0.68,0.44,0.18,71,1990s,adrenaline|loud|rebellious,False,0.1
52,Wonderwall,Oasis,rock,confident,0.87,130,0.42,0.58,0.21,72,1990s,classic|guitar-driven|gritty,False,0.03
53,Creep,Radiohead,rock,intense,0.8,158,0.52,0.6,0.04,66,1990s,driving|raw|electric,False,0.12
54,Highway to Hell,AC/DC,rock,angry,0.96,121,0.3,0.51,0.09,66,1970s,anthemic|powerful|riff-heavy,False,0.09
55,Boulevard of Broken Dreams,Green Day,rock,moody,0.97,112,0.45,0.51,0.07,61,2000s,adrenaline|loud|rebellious,False,0.09
56,Numb,Linkin Park,rock,confident,0.95,139,0.58,0.6,0.17,62,2000s,classic|guitar-driven|gritty,False,0.02
57,Time,Pink Floyd,rock,intense,0.96,163,0.43,0.43,0.19,59,1970s,driving|raw|electric,False,0.09
58,Californication,Red Hot Chili Peppers,rock,angry,0.77,131,0.42,0.54,0.13,60,1990s,anthemic|powerful|riff-heavy,False,0.02
59,November Rain,Guns N' Roses,rock,moody,0.79,152,0.68,0.52,0.08,55,1990s,adrenaline|loud|rebellious,False,0.07
60,Africa,Toto,rock,confident,0.76,132,0.63,0.51,0.08,56,1980s,classic|guitar-driven|gritty,False,0.05
61,Suavemente,Elvis Crespo,latin,carefree,0.77,98,0.8,0.78,0.23,85,1990s,sun-soaked|festive|rhythmic,False,0.03
62,Vivir Mi Vida,Marc Anthony,latin,happy,0.91,103,0.81,0.77,0.1,84,2010s,tropical|warm|danceable,False,0.0
63,Bailando,"Enrique Iglesias ft. Descemer Bueno, Gente de Zona",latin,romantic,0.76,92,0.73,0.91,0.2,83,2010s,passionate|vibrant|breezy,False,0.04
64,La Bicicleta,Carlos Vives & Shakira,latin,euphoric,0.74,97,0.8,0.72,0.25,79,2010s,celebratory|romantic|upbeat,False,0.04
65,Waka Waka (This Time for Africa),Shakira,latin,carefree,0.75,99,0.85,0.87,0.17,84,2010s,sun-soaked|festive|rhythmic,False,0.03
66,Hips Don't Lie,Shakira ft. Wyclef Jean,latin,happy,0.66,96,0.85,0.86,0.32,82,2000s,tropical|warm|danceable,False,0.03
67,Bailar,Deorro ft. Elvis Crespo,latin,romantic,0.89,127,0.86,0.91,0.16,76,2010s,passionate|vibrant|breezy,False,0.05
68,Ojos Así,Shakira,latin,euphoric,0.67,118,0.73,0.88,0.28,77,1990s,celebratory|romantic|upbeat,False,0.01
69,La Camisa Negra,Juanes,latin,carefree,0.77,103,0.67,0.74,0.12,71,2000s,sun-soaked|festive|rhythmic,False,0.01
70,A Dios le Pido,Juanes,latin,happy,0.78,96,0.63,0.8,0.08,70,2000s,tropical|warm|danceable,False,0.01
71,Danza Kuduro,Don Omar & Lucenzo,latin,romantic,0.72,117,0.72,0.76,0.16,70,2010s,passionate|vibrant|breezy,False,0.05
72,El Perdón,Nicky Jam & Enrique Iglesias,latin,euphoric,0.83,124,0.71,0.72,0.14,70,2010s,celebratory|romantic|upbeat,False,0.04
73,Corazón Sin Cara,Prince Royce,latin,carefree,0.91,114,0.76,0.87,0.26,65,2010s,sun-soaked|festive|rhythmic,False,0.04
74,Volví,Aventura ft. Bad Bunny,latin,happy,0.7,119,0.59,0.79,0.23,61,2020s,tropical|warm|danceable,False,0.02
75,Obsesión,Aventura,latin,romantic,0.76,96,0.91,0.83,0.29,63,2000s,passionate|vibrant|breezy,False,0.03
76,Vivir Sin Aire,Maná,latin,euphoric,0.65,115,0.63,0.82,0.05,57,1990s,celebratory|romantic|upbeat,False,0.02
77,Rayando el Sol,Maná,latin,carefree,0.72,112,0.67,0.92,0.16,57,1990s,sun-soaked|festive|rhythmic,False,0.04
78,La Tortura,Shakira ft. Alejandro Sanz,latin,happy,0.84,91,0.92,0.79,0.22,57,2000s,tropical|warm|danceable,False,0.04
79,Chantaje,Shakira ft. Maluma,latin,romantic,0.85,103,0.65,0.72,0.08,55,2010s,passionate|vibrant|breezy,False,0.01
80,Vente Pa' Ca,Ricky Martin ft. Maluma,latin,euphoric,0.79,101,0.74,0.77,0.14,56,2010s,celebratory|romantic|upbeat,False,0.03
81,Levels,Avicii,EDM,euphoric,0.94,123,0.9,0.77,0.0,92,2010s,euphoric|festival|electric,False,0.21
82,Wake Me Up,Avicii,EDM,intense,0.98,130,0.89,0.79,0.03,88,2010s,pulsing|big-room|triumphant,False,0.39
83,Titanium,David Guetta ft. Sia,EDM,happy,0.94,127,0.85,0.88,0.01,90,2010s,explosive|synth-driven|uplifting,False,0.44
84,Animals,Martin Garrix,EDM,confident,0.88,131,0.77,0.76,0.03,86,2010s,climactic|energetic|glowing,False,0.1
85,Clarity,Zedd ft. Foxes,EDM,euphoric,0.9,131,0.9,0.88,0.04,84,2010s,euphoric|festival|electric,False,0.35
86,Don't You Worry Child,Swedish House Mafia,EDM,intense,0.94,138,0.6,0.92,0.03,82,2010s,pulsing|big-room|triumphant,False,0.27
87,Faded,Alan Walker,EDM,happy,0.94,126,0.62,0.8,0.05,80,2010s,explosive|synth-driven|uplifting,False,0.2
88,This Is What You Came For,Calvin Harris ft. Rihanna,EDM,confident,0.95,136,0.75,0.83,0.0,76,2010s,climactic|energetic|glowing,False,0.4
89,Summer,Calvin Harris,EDM,euphoric,0.86,126,0.63,0.93,0.04,73,2010s,euphoric|festival|electric,False,0.2
90,Tsunami,DVBBS & Borgeous,EDM,intense,0.98,120,0.59,0.84,0.03,74,2010s,pulsing|big-room|triumphant,False,0.18
91,Reload,Sebastian Ingrosso & Tommy Trash,EDM,happy,0.94,132,0.83,0.77,0.01,71,2010s,explosive|synth-driven|uplifting,False,0.34
92,Language,Porter Robinson,EDM,confident,0.92,133,0.72,0.82,0.05,69,2010s,climactic|energetic|glowing,False,0.29
93,Strobe,Deadmau5,EDM,euphoric,0.9,127,0.59,0.78,0.01,69,2000s,euphoric|festival|electric,False,0.14
94,Ghosts 'n' Stuff,Deadmau5 ft. Rob Swire,EDM,intense,0.95,123,0.56,0.91,0.01,69,2000s,pulsing|big-room|triumphant,False,0.31
95,Turn Down for What,DJ Snake & Lil Jon,EDM,happy,0.92,121,0.85,0.81,0.02,66,2010s,explosive|synth-driven|uplifting,True,0.21
96,Lean On,Major Lazer & DJ Snake ft. MØ,EDM,confident,0.84,119,0.91,0.87,0.03,66,2010s,climactic|energetic|glowing,False,0.14
97,Silence,Marshmello ft. Khalid,EDM,euphoric,0.9,118,0.73,0.85,0.02,57,2010s,euphoric|festival|electric,False,0.16
98,Alone,Marshmello,EDM,intense,0.98,133,0.53,0.76,0.02,60,2010s,pulsing|big-room|triumphant,False,0.3
99,Some Chords,Deadmau5,EDM,happy,0.85,136,0.9,0.77,0.01,56,2000s,explosive|synth-driven|uplifting,False,0.3
100,One (Your Name),Swedish House Mafia,EDM,confident,0.92,137,0.58,0.86,0.02,58,2010s,climactic|energetic|glowing,False,0.25
101,I Will Always Love You,Whitney Houston,R&B,romantic,0.72,77,0.53,0.5,0.41,90,1990s,smooth|sensual|intimate,False,0.0
102,Ain't No Sunshine,Bill Withers,R&B,moody,0.58,74,0.57,0.53,0.11,84,1970s,velvety|soulful|warm,False,0.0
103,What's Going On,Marvin Gaye,R&B,relaxed,0.52,96,0.49,0.49,0.16,89,1970s,silky|emotive|late-night,False,0.01
104,Respect,Aretha Franklin,R&B,chill,0.38,72,0.69,0.72,0.28,87,1960s,tender|groovy|heartfelt,False,0.03
105,My Girl,The Temptations,R&B,romantic,0.51,92,0.38,0.52,0.15,78,1960s,smooth|sensual|intimate,False,0.01
106,No Diggity,Blackstreet,R&B,moody,0.64,96,0.61,0.65,0.16,81,1990s,velvety|soulful|warm,False,0.01
107,Crazy in Love,Beyoncé ft. Jay-Z,R&B,relaxed,0.61,75,0.5,0.63,0.08,77,2000s,silky|emotive|late-night,False,0.0
108,Adorn,Miguel,R&B,chill,0.47,74,0.29,0.55,0.3,76,2010s,tender|groovy|heartfelt,False,0.04
109,Best Part,Daniel Caesar ft. H.E.R.,R&B,romantic,0.36,106,0.58,0.56,0.06,73,2010s,smooth|sensual|intimate,False,0.04
110,Earned It,The Weeknd,R&B,moody,0.59,75,0.36,0.66,0.28,68,2010s,velvety|soulful|warm,True,0.02
111,No Scrubs,TLC,R&B,relaxed,0.48,79,0.42,0.51,0.11,69,1990s,silky|emotive|late-night,False,0.02
112,Say My Name,Destiny's Child,R&B,chill,0.6,83,0.64,0.65,0.22,65,1990s,tender|groovy|heartfelt,False,0.02
113,Killing Me Softly,Fugees,R&B,romantic,0.71,83,0.66,0.73,0.05,64,1990s,smooth|sensual|intimate,False,0.04
114,Untitled (How Does It Feel),D'Angelo,R&B,moody,0.37,91,0.44,0.71,0.28,60,2000s,velvety|soulful|warm,True,0.04
115,Redbone,Childish Gambino,R&B,relaxed,0.55,76,0.47,0.69,0.09,61,2010s,silky|emotive|late-night,False,0.05
116,Location,Khalid,R&B,chill,0.44,68,0.42,0.48,0.2,61,2010s,tender|groovy|heartfelt,False,0.01
117,Pyramids,Frank Ocean,R&B,romantic,0.39,65,0.56,0.53,0.4,58,2010s,smooth|sensual|intimate,True,0.01
118,Thinkin Bout You,Frank Ocean,R&B,moody,0.5,88,0.71,0.55,0.25,58,2010s,velvety|soulful|warm,False,0.02
119,Cranes in the Sky,Solange,R&B,relaxed,0.54,66,0.66,0.56,0.34,56,2010s,silky|emotive|late-night,False,0.02
120,Deja Vu,Beyoncé ft. Jay-Z,R&B,chill,0.54,110,0.28,0.7,0.36,51,2000s,tender|groovy|heartfelt,False,0.03
121,Dynamite,BTS,k-pop,confident,0.92,124,0.72,0.78,0.1,93,2020s,polished|energetic|catchy,False,0.02
122,Butter,BTS,k-pop,happy,0.77,108,0.91,0.75,0.07,90,2020s,colorful|confident|synchronized,False,0.03
123,DDU-DU DDU-DU,BLACKPINK,k-pop,euphoric,0.77,126,0.79,0.88,0.07,92,2010s,glossy|upbeat|dynamic,False,0.02
124,Kill This Love,BLACKPINK,k-pop,carefree,0.95,127,0.9,0.73,0.16,84,2010s,bright|stylish|addictive,False,0.01
125,Gangnam Style,PSY,k-pop,confident,0.92,102,0.71,0.8,0.12,86,2010s,polished|energetic|catchy,False,0.01
126,How You Like That,BLACKPINK,k-pop,happy,0.72,126,0.82,0.76,0.11,80,2020s,colorful|confident|synchronized,False,0.01
127,Fantastic Baby,BIGBANG,k-pop,euphoric,0.77,130,0.65,0.77,0.12,84,2010s,glossy|upbeat|dynamic,False,0.02
128,Fire,BTS,k-pop,carefree,0.69,100,0.58,0.85,0.06,76,2010s,bright|stylish|addictive,False,0.01
129,IDOL,BTS,k-pop,confident,0.95,102,0.68,0.85,0.15,79,2010s,polished|energetic|catchy,False,0.0
130,Boy With Luv,BTS ft. Halsey,k-pop,happy,0.76,119,0.67,0.75,0.08,72,2010s,colorful|confident|synchronized,False,0.02
131,Cheer Up,TWICE,k-pop,euphoric,0.73,120,0.75,0.75,0.15,73,2010s,glossy|upbeat|dynamic,False,0.0
132,TT,TWICE,k-pop,carefree,0.75,112,0.77,0.9,0.09,71,2010s,bright|stylish|addictive,False,0.01
133,Feel Special,TWICE,k-pop,confident,0.7,118,0.91,0.77,0.15,69,2010s,polished|energetic|catchy,False,0.02
134,Growl,EXO,k-pop,happy,0.76,120,0.86,0.72,0.07,65,2010s,colorful|confident|synchronized,False,0.01
135,Love Shot,EXO,k-pop,euphoric,0.88,97,0.91,0.84,0.06,66,2010s,glossy|upbeat|dynamic,False,0.02
136,Psycho,Red Velvet,k-pop,carefree,0.89,99,0.88,0.86,0.14,65,2010s,bright|stylish|addictive,False,0.03
137,Bad Boy,Red Velvet,k-pop,confident,0.74,118,0.58,0.74,0.06,63,2010s,polished|energetic|catchy,False,0.02
138,Next Level,aespa,k-pop,happy,0.87,104,0.76,0.9,0.11,59,2020s,colorful|confident|synchronized,False,0.01
139,Pink Venom,BLACKPINK,k-pop,euphoric,0.84,104,0.52,0.76,0.12,55,2020s,glossy|upbeat|dynamic,False,0.01
140,Shut Down,BLACKPINK,k-pop,carefree,0.83,119,0.71,0.9,0.14,58,2020s,bright|stylish|addictive,False,0.01
141,Friends in Low Places,Garth Brooks,country,nostalgic,0.59,129,0.51,0.65,0.63,82,1990s,earthy|homesick|heartfelt,False,0.02
142,Before He Cheats,Carrie Underwood,country,happy,0.69,92,0.76,0.61,0.71,85,2000s,dusty|nostalgic|storytelling,False,0.05
143,Cruise,Florida Georgia Line,country,romantic,0.55,128,0.55,0.49,0.33,83,2010s,porch-worn|sincere|rootsy,False,0.02
144,Body Like a Back Road,Sam Hunt,country,moody,0.51,102,0.74,0.66,0.33,75,2010s,twangy|wistful|open-road,False,0.01
145,Chicken Fried,Zac Brown Band,country,nostalgic,0.74,113,0.52,0.58,0.56,77,2000s,earthy|homesick|heartfelt,False,0.03
146,Wagon Wheel,Darius Rucker,country,happy,0.67,119,0.56,0.46,0.7,75,2010s,dusty|nostalgic|storytelling,False,0.02
147,Need You Now,Lady Antebellum,country,romantic,0.45,112,0.44,0.54,0.58,77,2010s,porch-worn|sincere|rootsy,False,0.04
148,Jolene,Dolly Parton,country,moody,0.57,125,0.7,0.65,0.57,72,1970s,twangy|wistful|open-road,False,0.04
149,Ring of Fire,Johnny Cash,country,nostalgic,0.76,95,0.39,0.52,0.48,72,1960s,earthy|homesick|heartfelt,False,0.05
150,The Dance,Garth Brooks,country,happy,0.46,121,0.54,0.65,0.56,66,1990s,dusty|nostalgic|storytelling,False,0.0
151,Achy Breaky Heart,Billy Ray Cyrus,country,romantic,0.77,132,0.74,0.44,0.37,69,1990s,porch-worn|sincere|rootsy,False,0.03
152,Live Like You Were Dying,Tim McGraw,country,moody,0.44,99,0.49,0.45,0.53,66,2000s,twangy|wistful|open-road,False,0.0
153,Springsteen,Eric Church,country,nostalgic,0.49,91,0.74,0.48,0.62,62,2010s,earthy|homesick|heartfelt,False,0.04
154,Dirt Road Anthem,Jason Aldean,country,happy,0.52,87,0.81,0.56,0.63,63,2010s,dusty|nostalgic|storytelling,False,0.01
155,Humble and Kind,Tim McGraw,country,romantic,0.47,100,0.73,0.48,0.42,54,2010s,porch-worn|sincere|rootsy,False,0.01
